tx_gain,rx_gain,total_sent,total_received,loss_rate,avg_snr,connected_pairs
0.6,0.5,200,98,34.67,14.79,9
0.6,0.6,200,161,-7.33,15.65,10
0.7,0.5,200,83,44.67,14.60,8
0.7,0.6,200,125,16.67,15.27,10
0.7,0.9,200,158,-5.33,16.20,11
0.8,0.7,200,117,22.00,15.56,10
0.9,0.5,200,140,6.67,15.04,9
0.9,0.8,200,120,20.00,15.34,11
0.9,0.9,196,83,43.54,17.50,11
